ID,Category,Question,Problem Link,Companies,Difficulty,Status
158,Greedy,Greedy algorithm to find minimum number of coins,https://www.geeksforgeeks.org/greedy-algorithm-to-find-minimum-number-of-coins/, Accolite Amazon Morgan Stanley Oracle Paytm Samsung Snapdeal Synopsys Visa Microsoft Google,,
159,Greedy,Minimum sum two numbers formed digits array-2,https://www.geeksforgeeks.org/minimum-sum-two-numbers-formed-digits-array-2/, Google,,
160,Greedy,Minimum sum absolute difference pairs two arrays,https://www.geeksforgeeks.org/minimum-sum-absolute-difference-pairs-two-arrays/, Amazon,,
161,Greedy,Find maximum height pyramid from the given array of objects,https://www.geeksforgeeks.org/find-maximum-height-pyramid-from-the-given-array-of-objects/,Flipkart Amazon,,
162,Greedy,Minimum cost for acquiring all coins with k extra coins allowed with every coin,https://www.geeksforgeeks.org/minimum-cost-for-acquiring-all-coins-with-k-extra-coins-allowed-with-every-coin/,,,
163,Greedy,Find maximum equal sum of every three stacks,http://geeksforgeeks.org/find-maximum-sum-possible-equal-sum-three-stacks/,Microsoft  Amazon Flipkart,,
164,Greedy,Job sequencing problem,https://www.geeksforgeeks.org/job-sequencing-problem/,Microsoft + Acolite,,
165,Greedy,Greedy algorithm egyptian fraction,https://www.geeksforgeeks.org/greedy-algorithm-egyptian-fraction/,,,
166,Greedy,Fractional knapsack problem,https://www.geeksforgeeks.org/fractional-knapsack-problem/, Microsoft,,
167,Greedy,Maximum length chain of pairs,https://www.geeksforgeeks.org/maximum-length-chain-of-pairs-dp-20/, Amazon Microsoft,,
168,Greedy,Find smallest number with given number of digits and digit sum,https://www.geeksforgeeks.org/find-smallest-number-with-given-number-of-digits-and-digit-sum/, MAQ Software OYO Rooms,,
169,Greedy,Maximize sum of consecutive differences circular-array,https://www.geeksforgeeks.org/maximize-sum-consecutive-differences-circular-array/,Maccafe,,
170,Greedy,paper-cut minimum number squares,https://www.geeksforgeeks.org/paper-cut-minimum-number-squares/, Google,,
171,Greedy,Lexicographically smallest array-k consecutive swaps,http://geeksforgeeks.org/lexicographically-smallest-array-k-consecutive-swaps/,Amazon,,
172,Greedy,Problems-CHOCOLA,https://www.spoj.com/problems/CHOCOLA/, Flipkart,,
173,Greedy,Find minimum time to finish all jobs with given constraints,https://www.geeksforgeeks.org/find-minimum-time-to-finish-all-jobs-with-given-constraints/,,,
174,Greedy,Job sequencing using disjoint set union,https://www.geeksforgeeks.org/job-sequencing-using-disjoint-set-union/, Samsung,,
175,Greedy,Rearrange characters string such that no two adjacent are same,https://www.geeksforgeeks.org/rearrange-characters-string-no-two-adjacent/, Amazon Microsoft,,
176,Greedy,Minimum edges to reverse to make path from a source to a destination,https://www.geeksforgeeks.org/minimum-edges-reverse-make-path-source-destination/,,,
177,Greedy,Minimize Cash Flow among a given set of friends who have borrowed money from each other,https://www.geeksforgeeks.org/minimize-cash-flow-among-given-set-friends-borrowed-money/,,,
